FoodCategoryCd,구분,레시피 번호,레시피명,
5,국 및 탕류,513,설렁탕(소면),국 및 탕류_513_설렁탕(소면)
7,찜류,514,매콤돼지갈비찜,찜류_514_매콤돼지갈비찜
11,조림류,515,삼치무조림,조림류_515_삼치무조림
1,밥류,517,닭고기덮밥,밥류_517_닭고기덮밥
5,국 및 탕류,518,곰탕,국 및 탕류_518_곰탕
7,찜류,519,찜닭,찜류_519_찜닭
11,조림류,520,고등어무조림,조림류_520_고등어무조림
5,국 및 탕류,521,감자탕,국 및 탕류_521_감자탕
7,찜류,522,소꼬리찜,찜류_522_소꼬리찜
5,국 및 탕류,523,닭개장,국 및 탕류_523_닭개장
11,조림류,524,매콤멸치풋고추조림,조림류_524_매콤멸치풋고추조림
7,찜류,525,가지선,찜류_525_가지선
5,국 및 탕류,526,도가니탕(소면),국 및 탕류_526_도가니탕(소면)
1,밥류,527,잡탕밥,밥류_527_잡탕밥
7,찜류,528,깻잎찜,찜류_528_깻잎찜
11,조림류,529,갈치무조림,조림류_529_갈치무조림
5,국 및 탕류,530,선지국,국 및 탕류_530_선지국
26,"채소, 해조류",531,무찜,"채소, 해조류_531_무찜"
11,조림류,532,광어무조림,조림류_532_광어무조림
5,국 및 탕류,533,갈비탕(당면),국 및 탕류_533_갈비탕(당면)
26,"채소, 해조류",535,양배추찜,"채소, 해조류_535_양배추찜"
11,조림류,536,청어무조림,조림류_536_청어무조림
5,국 및 탕류,538,오골계탕,국 및 탕류_538_오골계탕
7,찜류,539,콩나물찜(경상도식),찜류_539_콩나물찜(경상도식)
11,조림류,540,동태무조림,조림류_540_동태무조림
5,국 및 탕류,541,보신탕,국 및 탕류_541_보신탕
7,찜류,542,풋고추찜,찜류_542_풋고추찜
7,찜류,545,두부계란찜,찜류_545_두부계란찜
5,국 및 탕류,546,순대국,국 및 탕류_546_순대국
7,찜류,547,순대,찜류_547_순대
5,국 및 탕류,548,꼬리곰탕,국 및 탕류_548_꼬리곰탕
5,국 및 탕류,549,해물탕,국 및 탕류_549_해물탕
9,전/ 적 및 부침류,550,맛살채소부침,전/ 적 및 부침류_550_맛살채소부침
5,국 및 탕류,551,추어탕,국 및 탕류_551_추어탕
11,조림류,552,꽁치엿조림,조림류_552_꽁치엿조림
9,전/ 적 및 부침류,553,오징어동그랑땡,전/ 적 및 부침류_553_오징어동그랑땡
5,국 및 탕류,554,미역냉국,국 및 탕류_554_미역냉국
11,조림류,555,어묵햄조림,조림류_555_어묵햄조림
5,국 및 탕류,556,가지냉국,국 및 탕류_556_가지냉국
9,전/ 적 및 부침류,557,홍합전,전/ 적 및 부침류_557_홍합전
11,조림류,559,멸치고추장조림,조림류_559_멸치고추장조림
5,국 및 탕류,560,오이콩나물냉국,국 및 탕류_560_오이콩나물냉국
5,국 및 탕류,561,미역오이냉국,국 및 탕류_561_미역오이냉국
9,전/ 적 및 부침류,562,해물파전,전/ 적 및 부침류_562_해물파전
11,조림류,563,꽃게무조림,조림류_563_꽃게무조림
9,전/ 적 및 부침류,564,참치전,전/ 적 및 부침류_564_참치전
5,국 및 탕류,565,초계탕,국 및 탕류_565_초계탕
11,조림류,566,정어리무조림,조림류_566_정어리무조림
9,전/ 적 및 부침류,567,어묵부침,전/ 적 및 부침류_567_어묵부침
5,국 및 탕류,568,오이냉국,국 및 탕류_568_오이냉국
9,전/ 적 및 부침류,569,새우전,전/ 적 및 부침류_569_새우전
9,전/ 적 및 부침류,570,병어전,전/ 적 및 부침류_570_병어전
9,전/ 적 및 부침류,571,맛살전,전/ 적 및 부침류_571_맛살전
9,전/ 적 및 부침류,574,대구전,전/ 적 및 부침류_574_대구전
9,전/ 적 및 부침류,575,굴전,전/ 적 및 부침류_575_굴전
9,전/ 적 및 부침류,577,고등어전,전/ 적 및 부침류_577_고등어전
9,전/ 적 및 부침류,578,햄계란부침,전/ 적 및 부침류_578_햄계란부침
9,전/ 적 및 부침류,582,소고기전,전/ 적 및 부침류_582_소고기전
11,조림류,583,오징어무조림,조림류_583_오징어무조림
9,전/ 적 및 부침류,585,소간전,전/ 적 및 부침류_585_소간전
9,전/ 적 및 부침류,586,옛날소시지부침,전/ 적 및 부침류_586_옛날소시지부침
11,조림류,587,건새우조림,조림류_587_건새우조림
9,전/ 적 및 부침류,588,돼지고기전,전/ 적 및 부침류_588_돼지고기전
11,조림류,589,방어조림,조림류_589_방어조림
14,생채/무침류,591,오징어풋마늘초장무침,생채/무침류_591_오징어풋마늘초장무침
9,전/ 적 및 부침류,592,애호박전,전/ 적 및 부침류_592_애호박전
11,조림류,593,매콤홍합조림,조림류_593_매콤홍합조림
11,조림류,594,노가리조림,조림류_594_노가리조림
9,전/ 적 및 부침류,595,늙은호박전,전/ 적 및 부침류_595_늙은호박전
1,밥류,596,생선초밥,밥류_596_생선초밥
11,조림류,598,풋고추오징어채조림,조림류_598_풋고추오징어채조림
9,전/ 적 및 부침류,599,피망전,전/ 적 및 부침류_599_피망전
1,밥류,600,유부초밥,밥류_600_유부초밥
13,나물/숙채류,601,시금치나물,나물/숙채류_601_시금치나물
11,조림류,602,코다리무조림,조림류_602_코다리무조림
1,밥류,603,김가루햄주먹밥,밥류_603_김가루햄주먹밥
13,나물/숙채류,604,숙주나물,나물/숙채류_604_숙주나물
11,조림류,605,붕어조림,조림류_605_붕어조림
13,나물/숙채류,606,게맛살숙주무침,나물/숙채류_606_게맛살숙주무침
1,밥류,607,김밥,밥류_607_김밥
11,조림류,608,가자미무조림,조림류_608_가자미무조림
13,나물/숙채류,609,취나물된장무침,나물/숙채류_609_취나물된장무침
13,나물/숙채류,610,시래기나물,나물/숙채류_610_시래기나물
9,전/ 적 및 부침류,611,풋고추전,전/ 적 및 부침류_611_풋고추전
11,조림류,612,조기무조림,조림류_612_조기무조림
14,생채/무침류,613,오이미역초장무침,생채/무침류_613_오이미역초장무침
15,김치류,614,오이소박이,김치류_614_오이소박이
11,조림류,615,서대조림,조림류_615_서대조림
13,나물/숙채류,616,뜸부기나물,나물/숙채류_616_뜸부기나물
15,김치류,617,총각김치,김치류_617_총각김치
11,조림류,618,쥐포조림,조림류_618_쥐포조림
13,나물/숙채류,620,어묵미나리무침,나물/숙채류_620_어묵미나리무침
9,전/ 적 및 부침류,621,파전,전/ 적 및 부침류_621_파전
15,김치류,622,보쌈김치,김치류_622_보쌈김치
11,조림류,623,양미리무조림,조림류_623_양미리무조림
15,김치류,624,열무김치,김치류_624_열무김치
13,나물/숙채류,625,매콤콩나물무침,나물/숙채류_625_매콤콩나물무침
9,전/ 적 및 부침류,627,연근전,전/ 적 및 부침류_627_연근전
13,나물/숙채류,628,질경이나물,나물/숙채류_628_질경이나물
15,김치류,629,깍두기,김치류_629_깍두기
11,조림류,630,어묵감자조림,조림류_630_어묵감자조림
15,김치류,631,갓김치,김치류_631_갓김치
13,나물/숙채류,632,숙주미나리무침,나물/숙채류_632_숙주미나리무침
9,전/ 적 및 부침류,633,채소전,전/ 적 및 부침류_633_채소전
11,조림류,634,병어무조림,조림류_634_병어무조림
13,나물/숙채류,635,콩나물무침,나물/숙채류_635_콩나물무침
15,김치류,636,양배추김치,김치류_636_양배추김치
13,나물/숙채류,637,고비나물,나물/숙채류_637_고비나물
9,전/ 적 및 부침류,638,해물부추전,전/ 적 및 부침류_638_해물부추전
15,김치류,639,동치미,김치류_639_동치미
11,조림류,640,임연수조림,조림류_640_임연수조림
17,장아찌/절임류,642,단무지,장아찌/절임류_642_단무지
15,김치류,643,고들빼기김치,김치류_643_고들빼기김치
13,나물/숙채류,644,가지나물,나물/숙채류_644_가지나물
9,전/ 적 및 부침류,645,모둠버섯전,전/ 적 및 부침류_645_모둠버섯전
13,나물/숙채류,646,냉이고추장무침,나물/숙채류_646_냉이고추장무침
11,조림류,647,전어무조림,조림류_647_전어무조림
15,김치류,648,부추김치,김치류_648_부추김치
9,전/ 적 및 부침류,649,배추전,전/ 적 및 부침류_649_배추전
14,생채/무침류,650,콩나물겨자무침,생채/무침류_650_콩나물겨자무침
17,장아찌/절임류,651,무초절임,장아찌/절임류_651_무초절임
9,전/ 적 및 부침류,652,미나리전,전/ 적 및 부침류_652_미나리전
15,김치류,653,파김치,김치류_653_파김치
11,조림류,654,닭도리탕,조림류_654_닭도리탕
15,김치류,655,나박김치,김치류_655_나박김치
9,전/ 적 및 부침류,656,참두릅소고기전,전/ 적 및 부침류_656_참두릅소고기전
15,김치류,657,배추김치,김치류_657_배추김치
13,나물/숙채류,658,근대고추장무침,나물/숙채류_658_근대고추장무침
9,전/ 적 및 부침류,659,더덕소고기산적,전/ 적 및 부침류_659_더덕소고기산적
13,나물/숙채류,660,무청나물,나물/숙채류_660_무청나물
11,조림류,661,매콤닭고기옥수수조림,조림류_661_매콤닭고기옥수수조림
13,나물/숙채류,662,메밀순무침,나물/숙채류_662_메밀순무침
9,전/ 적 및 부침류,663,깻잎완자전,전/ 적 및 부침류_663_깻잎완자전
15,김치류,664,깻잎김치,김치류_664_깻잎김치
11,조림류,665,계란장조림,조림류_665_계란장조림
13,나물/숙채류,666,어묵콩나물무침,나물/숙채류_666_어묵콩나물무침
15,김치류,668,백김치,김치류_668_백김치
13,나물/숙채류,669,씀바귀뿌리고추장무침,나물/숙채류_669_씀바귀뿌리고추장무침
9,전/ 적 및 부침류,670,고구마전,전/ 적 및 부침류_670_고구마전
9,전/ 적 및 부침류,672,감자전,전/ 적 및 부침류_672_감자전
9,전/ 적 및 부침류,674,가지전,전/ 적 및 부침류_674_가지전
